,loop_id,rmse,a0,a1,a2,a3,a4,b0,b1,b2,b3
1517,1517,8.751731205260552e-07,-1.1372599035568195e-05,1.5885853365869262e-05,2.821745401009022,-4.708870779361326,-8.369387657387145e-08,1.991670481441412,3.347293239453747,2.090212843379932,1.3955566181372792
1518,1518,4.1731621285584225e-06,-5.3816890776447776e-05,0.00015411282606297438,1.9529761602779117,-5.410776847727885,2.504286519271898e-07,1.066943796118758,4.540319443352803,0.7525008151230808,2.177217168385416
1519,1519,1.722094715664757e-06,-2.321815607128009e-05,5.062264282700042e-05,4.255899979441892,-5.599666513404884,-5.818394311825764e-07,4.268431010575441,2.906288594563505,1.7653630534287486,3.045225767433058
1520,1520,3.1169837085958557e-06,-2.8467455328610394e-05,6.0785059964828426e-05,4.243847121385502,-3.0753355222419008,-4.4054054445803176e-07,1.309066310847514,1.3513779308979224,2.2294338931225273,0.5073660399870022
1521,1521,3.876169950273685e-06,-1.7697420654475378e-05,6.289879059220797e-05,5.507656809592065,-3.026073393765077,-2.5826958609001653e-06,4.195213913498558,0.0010000001,1.5173400171183902,0.0010368761960344874
1522,1522,1.8504384214425305e-06,-9.396194155182032e-06,3.340019717931127e-05,5.632138493169027,-4.875260658909485,-1.9039377226415577e-06,5.78390014048026,0.001000014195584591,1.0640486693228117,3.3324509918148255
1523,1523,1.6886501383103558e-06,-1.1664043918070997e-05,2.839707823098591e-05,3.9762389986142614,-6.574415310015167,-5.419302152310856e-07,0.3623894778436176,1.7916397360187863,0.1867806597817557,3.919112073694022
1524,1524,1.8924017175945543e-06,-1.8195676198300283e-05,3.3791987919733055e-05,4.061545589177689,-5.555819485565295,-6.288269580565451e-08,1.9011783715783763,3.9146686453658033,0.0010048735928887718,2.985650545258775
1525,1525,1.311957301158106e-05,-7.899401469638008e-05,0.00012013833720106374,7.34351557325925,-4.779102295751047,7.187757580022358e-07,3.5628395386998473,0.0010000002691491299,0.0010272988356827778,3.5100187889090715
1526,1526,6.195889973881415e-06,-4.9771956336768506e-05,3.947234051347369e-05,5.69770689628275,-6.36596928880567,9.750367595427635e-07,15.189607503128817,0.004654074683071011,0.009469886812075317,2.914448681536985
1527,1527,1.3450886713590237e-05,-0.00016472607132722938,0.00028854730839235126,3.2239791250940377,-2.463445892670744,-5.165492419908034e-07,0.0010000001,3.4046108970996056,1.0092164643969934,0.5425443753732405
